ASIN,Category,Date,Price,Rank,Rating,Reviews,Title,T_FINAL
B01DUTYGXE,Fashion,31-10-20,8.95,#70,4.0 out of 5 stars,"17,760",,Into the AM Neck Gaiter Face Cover Scarf Breathable Gator Mask Cooling Bandana
B01DUTYGXE,Fashion,28-10-20,8.95,#59,3.9 out of 5 stars,"17,074",,Into the AM Neck Gaiter Face Cover Scarf Breathable Gator Mask Cooling Bandana
B01DUTYGXE,Fashion,27-10-20,8.95,#72,3.9 out of 5 stars,"16,933",,Into the AM Neck Gaiter Face Cover Scarf Breathable Gator Mask Cooling Bandana
B01DUTYGXE,Fashion,29-10-20,8.95,#59,3.9 out of 5 stars,"17,233",Into the AM Neck Gaiter Face Cover Scarf Breathable Gator Mask Cooling Bandana,Into the AM Neck Gaiter Face Cover Scarf Breathable Gator Mask Cooling Bandana
B0741WGQ36,Amazon Devices,01-11-20,9.99,#36,4.6 out of 5 stars,"6,348",Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers)
B0741WGQ36,Amazon Devices,31-10-20,9.99,#38,4.6 out of 5 stars,"6,276",Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers)
B0741WGQ36,Amazon Devices,30-10-20,9.99,#40,4.6 out of 5 stars,"6,222",Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers)
B0741WGQ36,Amazon Devices,28-10-20,9.99,#29,4.6 out of 5 stars,"6,057",,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers)
B0741WGQ36,Amazon Devices,27-10-20,9.99,#29,4.6 out of 5 stars,"6,020",,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers)
B0741WGQ36,Amazon Devices,26-10-20,9.99,#28,4.6 out of 5 stars,"5,988",,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers)
B0741WGQ36,Amazon Devices,29-10-20,9.99,#35,4.6 out of 5 stars,"6,098",Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers)
B01BX4G6FY,Toys & Games,01-11-20,21.99,#38,4.6 out of 5 stars,"9,186",,ThinkFun Circuit Maze Electric Current Brain Game and STEM Toy for Boys and Girls Age 8 and Up…
B01BX4G6FY,Toys & Games,31-10-20,21.99,#35,4.6 out of 5 stars,"9,117",,ThinkFun Circuit Maze Electric Current Brain Game and STEM Toy for Boys and Girls Age 8 and Up…
B01BX4G6FY,Toys & Games,28-10-20,21.99,#59,4.6 out of 5 stars,"8,936",,ThinkFun Circuit Maze Electric Current Brain Game and STEM Toy for Boys and Girls Age 8 and Up…
B01BX4G6FY,Toys & Games,27-10-20,21.99,#44,4.6 out of 5 stars,"8,903",,ThinkFun Circuit Maze Electric Current Brain Game and STEM Toy for Boys and Girls Age 8 and Up…
B01BX4G6FY,Toys & Games,26-10-20,21.99,#46,4.6 out of 5 stars,"8,875",,ThinkFun Circuit Maze Electric Current Brain Game and STEM Toy for Boys and Girls Age 8 and Up…
B01BX4G6FY,Toys & Games,29-10-20,21.99,#45,4.6 out of 5 stars,"8,972",ThinkFun Circuit Maze Electric Current Brain Game and STEM Toy for Boys and Girls Age 8 and Up…,ThinkFun Circuit Maze Electric Current Brain Game and STEM Toy for Boys and Girls Age 8 and Up…
B081FVQCHQ,Computers/Accessories,30-10-20,79,#80,4.7 out of 5 stars,526,Apple 96W USB-C Power Adapter,Apple 96W USB-C Power Adapter
B081FVQCHQ,Computers/Accessories,01-11-20,79,#72,4.7 out of 5 stars,539,,Apple 96W USB-C Power Adapter
B081FVQCHQ,Computers/Accessories,31-10-20,79,#70,4.7 out of 5 stars,531,,Apple 96W USB-C Power Adapter
B081FVQCHQ,Computers/Accessories,29-10-20,79,#68,4.7 out of 5 stars,515,Apple 96W USB-C Power Adapter,Apple 96W USB-C Power Adapter
B081FVQCHQ,Computers/Accessories,28-10-20,79,#64,4.7 out of 5 stars,510,Apple 96W USB-C Power Adapter,Apple 96W USB-C Power Adapter
B081FVQCHQ,Computers/Accessories,27-10-20,79,#84,4.7 out of 5 stars,507,Apple 96W USB-C Power Adapter,Apple 96W USB-C Power Adapter
B07B6L2QCF,Amazon Devices,01-11-20,29.99,#32,4.6 out of 5 stars,"14,277",Alexa Voice Remote (2nd Gen) with power and volume controls – requires compatible Fire TV…,Alexa Voice Remote (2nd Gen) with power and volume controls – requires compatible Fire TV…
B07B6L2QCF,Amazon Devices,31-10-20,29.99,#33,4.6 out of 5 stars,"14,143",Alexa Voice Remote (2nd Gen) with power and volume controls – requires compatible Fire TV…,Alexa Voice Remote (2nd Gen) with power and volume controls – requires compatible Fire TV…
