ASIN,Category,Title,Rating,Avg_Reviews,Rating_Fill,Avg_Price
B07B6L2QCF,Amazon Devices,Alexa Voice Remote (2nd Gen) with power and volume controls – requires compatible Fire TV…,4.6,13886,29.99,29.99
B00004RJ71,Movies & TV,"Blood In, Blood Out",4.8,5153,3.99,3.99
B07FKR6KXF,Amazon Devices,"Fire 7 tablet (7 display, 16 GB) - Black",4.4,109402,49.99,49.99
B000VBIGCW,Movies & TV,A Christmas Story (Full-Screen Edition),4.8,15774,7.61,7.61
B08GG9CMLR,Computers/Accessories,Google Wifi - Mesh Wifi System - Wifi Router Replacement - 3 Pack,4.6,11913,199.98,199.98
B08KQBYM1Y,Movies & TV,"Lord of the Rings, The: Motion Picture Trilogy…",4.8,12705,89.99,89.99
B0846PX2D5,Fashion,Legendary Whitetails Men's Buck Camp Flannel Shirt,4.5,14339,29.99,29.99
B07886HD17,Movies & TV,COCO,4.8,5628,17.49,17.49
B087PNPR48,Fashion,"TICONN Neck Gaiter (2 Pack), Outdoor Breathable Face Cover, Ideal for Hiking Running Cycling…",4.3,6316,6.9,6.9
B07K1RZWMC,Amazon Devices,"Fire HD 10 Tablet (10.1 1080p full HD display, 32 GB) – Black",4.6,76158,149.99,149.99
B0839NDRB2,Amazon Devices,"All-new Fire HD 8 Plus tablet, HD display, 32 GB, our best 8 tablet for portable entertainment,…",4.5,6788,109.99,109.99
B073JV7CSS,Fashion,Wrangler Authentics Men's Long Sleeve Heavy Weight Fleece Shirt,4.6,8875,19.46,19.46
B07WMLPSRL,Computers/Accessories,Amazon eero mesh WiFi system – router replacement for whole-home coverage (3-pack),4.5,7846,249,249
B079JD7F7G,Computers/Accessories,TP-Link AC1750 Smart WiFi Router (Archer A7) - Dual Band Gigabit Wireless Internet Router for…,4.4,26350,62.28,62.28
B06XH46MWW,Computers/Accessories,"NETGEAR Cable Modem CM500 - Compatible With All Cable Providers Including Xfinity by Comcast,…",4.3,6994,62.99,62.99
B01IRMU5PW,Fashion,Levi's Men's 501 Original Fit Jeans,4.5,28095,20.86,20.86
B077BL65HS,Computers/Accessories,"Motorola 24x8 Cable Modem, Model MB7621, DOCSIS 3.0. Approved by Comcast Xfinity, Cox,…",4.5,3346,77.98,77.98
B085B24B72,Toys & Games,"LEGO Star Wars Advent Calendar 75279 Building Kit for Kids, Fun Calendar with Star Wars…",4.9,694,29.96,29.96
B082PQKLL2,Movies & TV,1917,4.5,48322,10.62,10.62
B07PF1Y28C,Amazon Devices,Echo Show 8 -- HD smart display with Alexa – stay connected with video calling - Charcoal,4.7,68097,82.13,82.13
B07YMKD6SM,Computers/Accessories,Google Nest WiFi Router (2nd Generation) – 4x4 AC2200 Mesh Wi-Fi Router with 2200 Sq Ft…,4.5,1705,163.57,163.57
B07CPDKQ28,Movies & TV,"NIGHTMARE BEFORE CHRISTMAS, THE (TIM…",4.9,1909,8.99,8.99
B07H2ZS1B5,Computers/Accessories,"USB C Hub, UtechSmart 6 In 1 USB C to HDMI Adapter with 1000M Ethernet, Power Delivery…",4.5,1642,29.99,29.99
B07S86K91M,Movies & TV,Friends: The Complete Series Collection (25th…,4.8,8425,59.91,59.91
B084GTH5LL,Computers/Accessories,"TP-Link Deco Mesh WiFi System (Deco S4) – Up to 5,500 Sq.ft. Coverage, WiFi Router and Extender…",4.6,6136,149.99,149.99
B07MV64LGF,Amazon Devices,Echo Show 5 Adjustable Stand - Black,4.7,17380,18.66,18.66
B01NBGB1UM,Fashion,Hanes Men's EcoSmart Fleece Sweatpant,4.3,6860,7.92,7.92
B08518LVFD,Computers/Accessories,"200 PCS Stickers Pack (50-500Pcs/Pack), Colorful Waterproof Stickers for Flask, Laptop, Phone,…",4.6,1134,10.98,10.98
B01DARPNBK,Fashion,Hanes Boys' Eco Smart Fleece Pant,4.2,5465,7.33,7.33
B07TYTXJFW,Fashion,Crocs Classic Clog | Water Comfortable Slip on Shoes,4.8,51993,23.05,23.05
B07N1L5HX1,Computers/Accessories,TP-Link AC1200 Gigabit WiFi Router (Archer A6) - 5GHz Gigabit Dual Band MU-MIMO Wireless…,4.4,8284,47.13,47.13
B00M0JU3G0,Movies & TV,A Charlie Brown Christmas 50th Anniversay…,4.9,4851,13.86,13.86
B08KDGY97T,Computers/Accessories,Mac Book Pro Charger 85W L-Tip Power Adapter Charger Replacement Cord for Mac Book Pro 13…,4.9,451,21.28,21.28
B00NHQF65S,Toys & Games,"LEGO Classic Green Baseplate 2304 Supplement for Building, Playing, and Displaying LEGO…",4.8,12885,5.99,5.99
B07CRSXMW8,Toys & Games,"VTech Sit-To-Stand Learning Walker (Frustration Free Packaging), Blue",4.8,20997,33.12,33.12
B00ECDM78E,Computers/Accessories,Plugable USB 3.0 Universal Laptop Docking Station Dual Monitor for Windows (Dual Video: HDMI…,4.6,6601,94,94
B073VJVH1N,Computers/Accessories,"Replacement Battery for HP Spare 593553-001, HP Compaq Presario CQ32 CQ42 CQ43, HP…",4.4,6742,15.99,15.99
B06WD5Z6SJ,Fashion,Urban CoCo Women's Basic Versatile Stretchy Flared Casual Mini Skater Skirt,4.5,19462,12.46,12.46
B07ZDTXJ93,Amazon Devices,Ring Alarm 5-piece kit (2nd Gen) – home security system with optional 24/7 professional monitoring…,4.8,4740,199.99,199.99
B083Y1GB6G,Movies & TV,Yellowstone Season 1 and 2 DVD Set,4.7,1066,31.62,31.62
B01HIUTC9O,Fashion,Champion Men's Powerblend Fleece Pullover Hoodie,4.7,14271,21.85,21.85
B000VBIGD6,Movies & TV,National Lampoon's Christmas Vacation (Special…,4.8,31111,9,9
B00R2AZLD2,Computers/Accessories,NETGEAR Nighthawk Smart WiFi Router (R6700) - AC1750 Wireless Speed (up to 1750 Mbps) | Up…,4.3,56590,86.17,86.17
B079QHML21,Amazon Devices,"Fire TV Stick 4K streaming device with Alexa built in, Dolby Vision, includes Alexa Voice Remote,…",4.7,352952,38.56,38.56
B07TMJ1R3X,Amazon Devices,"All-new Fire HD 8 tablet, 8 HD display, 32 GB, designed for portable entertainment, Black",4.5,29184,89.99,89.99
B0776ZCMMR,Amazon Devices,"Ring Spotlight Cam Battery HD Security Camera with Built Two-Way Talk and a Siren Alarm, Black,…",4.6,11864,199.99,199.99
B08GDGBFHH,Movies & TV,Fatima,4.6,4220,16.64,16.64
B08GLP1PDT,Movies & TV,Yellowstone: The First Three Seasons Limited…,3.8,5,49.99,49.99
B08F2NKCTZ,Fashion,Fruit of the Loom Men's Stay Tucked Crew T-Shirt,4.6,23482,12,12
B07HQ46PD5,Computers/Accessories,"Mac Book Pro Charger, 60W Magsafe Power Adapter L-Tip Magnetic Connector Charger for…",4,3828,19.47,19.47
B00005C5H4,Toys & Games,The First Years Stack Up Cup Toys,4.8,33017,3.99,3.99
B007OYLNGA,Computers/Accessories,Dell 45W Replacement AC Adapter for Dell,4.4,3032,26.39,26.39
B07Y8YNDM6,Amazon Devices,"Amazon Fire HD 8 Cover, compatible with 10th generation tablet, 2020 release, Charcoal Black",4.6,5693,29.99,29.99
B000RIWAVW,Movies & TV,Halloween,4.7,8508,4.99,4.99
B07Y981JGQ,Movies & TV,Batman: Death in the Family (Blu-ray + Digital),3,568,19.96,19.96
B0007XB2Y8,Fashion,Carhartt Men's K87 Workwear Pocket Short Sleeve T-Shirt (Regular and Big & Tall Sizes),4.6,35727,13,13
